#ies_format_version: 1.0
#file: 20250813_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250813;	133050;	1755072050.000;	 err32;	 err32;	    err32
20250813;	133055;	1755072055.000;	 err32;	 err32;	    err32
20250813;	133100;	1755072060.000;	 err32;	 err32;	    err32
20250813;	133105;	1755072065.000;	 err32;	 err32;	    err32
20250813;	133110;	1755072070.000;	 err32;	 err32;	    err32
20250813;	133115;	1755072075.000;	 err32;	 err32;	    err32
20250813;	133120;	1755072080.000;	 err32;	 err32;	    err32
20250813;	133125;	1755072085.000;	 err32;	 err32;	    err32
20250813;	133130;	1755072090.000;	 err32;	 err32;	    err32
20250813;	133135;	1755072095.000;	 err32;	 err32;	    err32
20250813;	133140;	1755072100.000;	 err32;	 err32;	    err32
20250813;	133145;	1755072105.000;	 err32;	 err32;	    err32
20250813;	133150;	1755072110.000;	 err32;	 err32;	    err32
20250813;	133155;	1755072115.000;	 err32;	 err32;	    err32
20250813;	133200;	1755072120.000;	 err32;	 err32;	    err32
20250813;	133205;	1755072125.000;	 err32;	 err32;	    err32
20250813;	133210;	1755072130.000;	 err32;	 err32;	    err32
20250813;	133215;	1755072135.000;	 err32;	 err32;	    err32
20250813;	133220;	1755072140.000;	 err32;	 err32;	    err32
20250813;	133225;	1755072145.000;	 err32;	 err32;	    err32
20250813;	133230;	1755072150.000;	 err32;	 err32;	    err32
